Source,Target,Type,Id,Label,Weight
42460102,42482098,Undirected,0,,2
42460102,42482093,Undirected,1,,2
42460105,42468406,Undirected,2,,2
42460105,42468403,Undirected,3,,2
42460105,42460102,Undirected,4,,1
42460121,42522143,Undirected,5,,2
42460121,42491026,Undirected,6,,2
42460121,42460123,Undirected,7,,1
42460123,42460142,Undirected,8,,1
42460123,42491029,Undirected,9,,2
42460123,42522147,Undirected,10,,2
42460142,42460148,Undirected,11,,1
42460142,42491037,Undirected,12,,2
42460142,42522158,Undirected,13,,2
42460148,42460151,Undirected,14,,1
42460148,42491045,Undirected,15,,2
42460148,42522162,Undirected,16,,2
42460151,42460153,Undirected,17,,1
42460151,42522165,Undirected,18,,2
42460151,42491048,Undirected,19,,2
42460153,1257570177,Undirected,20,,2
42460153,42470128,Undirected,21,,1
42460162,42473388,Undirected,22,,2
42460162,42463007,Undirected,23,,2
42460162,42491119,Undirected,24,,2
42460165,42460162,Undirected,25,,1
42460165,42463007,Undirected,26,,1
42460167,42522122,Undirected,27,,2
42460167,42460165,Undirected,28,,1
42460167,42491119,Undirected,29,,2
42460169,42522125,Undirected,30,,2
42460169,42460167,Undirected,31,,1
42460169,42491122,Undirected,32,,2
42460171,42460169,Undirected,33,,1
42460171,42460172,Undirected,34,,2
42460171,42522127,Undirected,35,,2
42460171,42491126,Undirected,36,,2
42460192,42491082,Undirected,38,,1
42460192,42460195,Undirected,39,,1
42460195,42460202,Undirected,40,,1
42460195,42493446,Undirected,41,,2
42460195,42491079,Undirected,42,,2
42460202,42515668,Undirected,43,,2
42460202,42491073,Undirected,44,,2
42460202,42460204,Undirected,45,,1
42460204,42460207,Undirected,46,,1
42460204,42522116,Undirected,47,,2
42460204,42491070,Undirected,48,,2
42460207,42522118,Undirected,49,,2
42460207,42491066,Undirected,50,,2
42460207,42460209,Undirected,51,,2
42460209,42495953,Undirected,52,,2
42460209,42491063,Undirected,53,,2
42460211,42460212,Undirected,55,,2
42460211,42490642,Undirected,56,,2
42460211,42478856,Undirected,57,,2
42460212,42460214,Undirected,58,,2
42460212,42516026,Undirected,60,,2
42460212,42490650,Undirected,61,,2
42460214,42490653,Undirected,63,,1
42460214,42460215,Undirected,64,,2
42460215,42510218,Undirected,65,,1
42460215,42460216,Undirected,66,,2
42460216,42460873,Undirected,68,,1
42460216,42460217,Undirected,69,,2
42460217,42460218,Undirected,71,,2
42460217,42523965,Undirected,73,,2
42460217,42460876,Undirected,74,,2
42460218,42460220,Undirected,75,,2
42460218,42519677,Undirected,77,,1
42460220,42460882,Undirected,78,,1
42460220,42460221,Undirected,79,,2
42460221,42460222,Undirected,81,,2
42460221,42523975,Undirected,83,,1
42460222,42460223,Undirected,84,,2
42460222,42460889,Undirected,86,,1
42460223,42460224,Undirected,87,,2
42460223,42523985,Undirected,89,,1
42460224,42460225,Undirected,90,,2
42460224,42464653,Undirected,92,,1
42460225,42460226,Undirected,93,,2
42460225,42480505,Undirected,95,,1
42460226,42460227,Undirected,96,,2
42460226,42468099,Undirected,98,,1
42460227,42460228,Undirected,99,,2
42460227,42492862,Undirected,101,,1
42460228,42460229,Undirected,102,,2
42460228,11946657939,Undirected,104,,1
42460229,42468108,Undirected,105,,2
42460229,11946657939,Undirected,106,,2
42460229,42460231,Undirected,107,,2
42460231,42468108,Undirected,109,,1
42460231,42460232,Undirected,110,,2
42460232,42473035,Undirected,112,,1
42460232,42460233,Undirected,113,,2
42460233,42468114,Undirected,115,,1
42460233,42460234,Undirected,116,,2
42460234,42525468,Undirected,118,,1
42460234,42460235,Undirected,119,,2
42460235,42468118,Undirected,121,,1
42460235,42460236,Undirected,122,,2
42460236,42460239,Undirected,124,,2
42460236,42517366,Undirected,126,,1
42460239,42490258,Undirected,127,,1
42460239,42460243,Undirected,128,,2
42460243,42533678,Undirected,130,,1
42460243,42460247,Undirected,131,,2
42460247,42521613,Undirected,133,,1
42460247,2620907642,Undirected,134,,2
42460255,42533686,Undirected,136,,2
42460255,42524046,Undirected,137,,2
42460255,42460263,Undirected,138,,2
