Id,accident_count,street_name
42460102,1,East 105th Street
42460105,0,"East 108th Street, Flatlands 3rd Street"
42460121,0,"East 88th Street, Avenue K"
42460123,0,"Stillwell Place, East 88th Street"
42460142,1,"East 88th Street, Avenue L"
42460148,0,"Avenue M, East 88th Street"
42460151,0,"Avenue N, East 88th Street"
42460153,0,"Seaview Avenue, East 88th Street"
42460162,0,"Ralph Avenue, Snyder Avenue"
42460165,0,East 88th Street
42460167,1,"Avenue A, East 88th Street"
42460169,2,"Avenue B, East 88th Street"
42460171,1,"Ditmas Avenue, East 88th Street"
42460172,0,East 88th Street
42460192,0,"Bedell Lane, East 88th Street"
42460195,1,"East 88th Street, Farragut Road"
42460202,0,"East 88th Street, Glenwood Road"
42460204,0,"Flatlands Avenue, East 88th Street"
42460207,1,"Avenue J, East 88th Street"
42460209,0,"Church Lane, East 88th Street"
42460211,0,"12th Avenue, Dahill Road"
42460212,0,"Chester Avenue, 12th Avenue"
42460214,2,"12th Avenue, 36th Street"
42460215,2,"37th Street, 12th Avenue"
42460216,2,"38th Street, 12th Avenue"
42460217,0,"12th Avenue, 39th Street"
42460218,1,"12th Avenue, 40th Street"
42460220,2,"41st Street, 12th Avenue"
42460221,1,"12th Avenue, 42nd Street"
42460222,1,"12th Avenue, 43rd Street"
42460223,0,"12th Avenue, 44th Street"
42460224,0,"12th Avenue, 45th Street"
42460225,3,"12th Avenue, 46th Street"
42460226,2,"47th Street, 12th Avenue"
42460227,1,"12th Avenue, 48th Street"
42460228,0,"12th Avenue, 49th Street"
42460229,1,"12th Avenue, New Utrecht Avenue"
42460231,0,"12th Avenue, 50th Street"
42460232,2,"51st Street, 12th Avenue"
42460233,1,"12th Avenue, 52nd Street"
42460234,2,"12th Avenue, 53rd Street"
42460235,0,"12th Avenue, 54th Street"
42460236,0,"12th Avenue, 55th Street"
42460239,1,"56th Street, 12th Avenue"
42460243,1,"57th Street, 12th Avenue"
42460247,0,"12th Avenue, 58th Street"
42460255,2,"12th Avenue, 60th Street"
42460263,2,"12th Avenue, 61st Street"
42460274,0,"62nd Street, 12th Avenue"
42460278,0,"12th Avenue, Tabor Court"
42460281,0,"63rd Street, 12th Avenue"
42460284,2,"12th Avenue, 64th Street"
42460288,5,"12th Avenue, 65th Street"
42460291,0,"66th Street, 12th Avenue"
42460294,0,"12th Avenue, 67th Street"
42460300,0,"12th Avenue, Ovington Avenue"
42460306,0,"12th Avenue, Bay Ridge Avenue"
42460309,0,"12th Avenue, 70th Street"
42460312,1,"12th Avenue, 71st Street"
42460316,1,"12th Avenue, 72nd Street"
42460318,0,"73rd Street, 12th Avenue"
42460319,2,"12th Avenue, 74th Street"
42460320,5,"Bay Ridge Parkway, 12th Avenue"
42460328,1,"12th Avenue, 76th Street"
42460339,2,"12th Avenue, 77th Street"
42460343,0,"12th Avenue, 78th Street"
42460346,1,"79th Street, 12th Avenue"
42460349,1,"80th Street, 12th Avenue"
42460353,0,"12th Avenue, 81st Street"
42460356,0,"12th Avenue, 82nd Street"
42460360,1,"12th Avenue, 83rd Street"
42460366,0,"84th Street, 12th Avenue"
42460370,1,"12th Avenue, 85th Street"
42460374,2,"12th Avenue, 86th Street"
42460403,0,"67th Street, Duryea Court"
42460406,1,"Bank Street, Foster Avenue, Avenue D, Dewitt Avenue"
42460415,0,"Paerdegat 4th Street, Paerdegat Avenue North"
42460417,1,"Paerdegat 4th Street, East 80th Street, Avenue K"
42460425,1,Ralph Avenue
42460427,0,"East 64th Street, Avenue N"
42460428,1,"East 64th Street, Veterans Avenue"
42460434,0,East 64th Street
42460438,0,East 64th Street
42460441,0,"East 64th Street, Avenue T"
42460444,1,"East 64th Street, Avenue U"
42460447,0,"East 64th Street, Strickland Avenue"
42460498,0,"East 64th Street, Mayfair Drive North"
42460545,0,"East 64th Street, Mayfair Drive South"
42460558,1,"East 64th Street, 56th Drive"
42460562,0,"East 64th Street, National Drive"
42460574,1,"Clarkson Avenue, East 40th Street"
42460576,2,"Lenox Road, East 40th Street"
42460579,0,"Linden Boulevard, East 40th Street"
42460582,2,"Church Avenue, East 40th Street"
42460583,0,Snyder Avenue
42460586,2,"Avenue I, East 40th Street"
42460587,1,"Avenue J, East 40th Street"
42460589,1,"Avenue K, East 40th Street"
42460591,0,"Hubbard Place, East 40th Street"
42460592,1,East 40th Street
42460593,4,"Kings Highway, East 40th Street"
42460594,0,East 40th Street
42460595,0,"Flatlands Avenue, East 40th Street"
42460598,1,"Cortelyou Road, East 40th Street"
42460599,0,"Clarendon Road, East 40th Street"
42460600,0,"Avenue D, East 40th Street"
42460602,2,"Foster Avenue, East 40th Street"
42460603,3,"Farragut Road, East 40th Street"
42460605,2,"Glenwood Road, East 40th Street"
42460606,1,Avenue H
42460607,1,Liberty Avenue
42460608,0,"Liberty Avenue, Forbell Street"
42460610,0,Ralph Avenue
42460611,1,"Howard Avenue, Marion Street"
42460617,0,"Saratoga Avenue, Marion Street"
42460619,3,"Thomas S. Boyland Street, Marion Street"
42460622,0,"Rockaway Avenue, Marion Street"
42460636,0,"Broadway, Marion Street"
42460654,3,Fulton Street
42460657,0,Malcolm X Boulevard
42460660,0,"Patchen Avenue, Marion Street"
42460674,3,Ocean Avenue
42460681,4,"Regent Place, East 21st Street"
42460684,4,"Tilden Avenue, Regent Place, Flatbush Avenue"
42460694,3,"Tapscott Street, East 98th Street, Kings Highway"
42460695,0,"Tapscott Street, Dumont Avenue"
42460698,1,Tapscott Street
42460701,0,"Tapscott Street, Blake Avenue"
42460705,0,"Howard Avenue, Tapscott Street"
42460714,1,East New York Avenue
42460715,0,"Tapscott Street, Sutter Avenue"
42460717,0,"Tapscott Street, Blake Avenue"
42460722,0,Florence Avenue
42460723,1,"Aster Court, Everett Avenue"
42460725,0,"Devon Avenue, Aster Court"
42460729,0,"Aster Court, Channel Avenue"
42460737,0,"Aster Court, Bijou Avenue"
42460740,0,"Aster Court, Allen Avenue"
42460762,0,"Jackson Court, 101st Street"
42460764,0,Jackson Court
42460776,0,"Fort Hamilton Parkway, 7th Avenue"
42460787,0,"79th Street, Fort Hamilton Parkway"
42460801,0,"80th Street, Fort Hamilton Parkway"
42460806,0,Fort Hamilton Parkway
42460809,0,"Fort Hamilton Parkway, 82nd Street"
42460816,0,"83rd Street, Fort Hamilton Parkway"
42460821,0,"84th Street, Fort Hamilton Parkway"
42460825,0,Fort Hamilton Parkway
42460832,1,"East 5th Street, Fort Hamilton Parkway"
42460836,2,"East 4th Street, Fort Hamilton Parkway"
42460839,1,"East 3rd Street, Fort Hamilton Parkway"
