osmid,y,x,street_count,accident_count,highway,ref,geometry
42460102,40.643689,-73.890404,3,1,,,POINT (-73.890404 40.643689)
42460105,40.645062,-73.88827,3,0,,,POINT (-73.88827 40.645062)
42460121,40.635803,-73.903589,3,0,,,POINT (-73.903589 40.635803)
42460123,40.635077,-73.902781,4,0,,,POINT (-73.902781 40.635077)
42460142,40.634356,-73.901979,4,1,,,POINT (-73.901979 40.634356)
42460148,40.632724,-73.900161,4,0,,,POINT (-73.900161 40.632724)
42460151,40.631094,-73.898349,4,0,,,POINT (-73.898349 40.631094)
42460153,40.6294638,-73.8965333,4,0,,,POINT (-73.8965333 40.6294638)
42460162,40.6507255,-73.920581,4,0,traffic_signals,,POINT (-73.920581 40.6507255)
42460165,40.65077,-73.920255,3,0,,,POINT (-73.920255 40.65077)
42460167,40.650201,-73.919621,4,1,,,POINT (-73.919621 40.650201)
42460169,40.648568,-73.917801,4,2,,,POINT (-73.917801 40.648568)
42460171,40.647151,-73.916209,4,1,,,POINT (-73.916209 40.647151)
42460172,40.646362,-73.915322,1,0,,,POINT (-73.915322 40.646362)
42460192,40.642997,-73.911601,4,0,stop,,POINT (-73.911601 40.642997)
42460195,40.642246,-73.910764,4,1,,,POINT (-73.910764 40.642246)
42460202,40.64077,-73.909119,4,0,,,POINT (-73.909119 40.64077)
42460204,40.639276,-73.907454,4,0,traffic_signals,,POINT (-73.907454 40.639276)
42460207,40.637622,-73.905612,4,1,,,POINT (-73.905612 40.637622)
42460209,40.6371493,-73.9050975,3,0,,,POINT (-73.9050975 40.6371493)
42460211,40.6457372,-73.9810534,3,0,traffic_signals,,POINT (-73.9810534 40.6457372)
42460212,40.6444582,-73.9844054,4,0,traffic_signals,,POINT (-73.9844054 40.6444582)
42460214,40.6435714,-73.986725,4,2,traffic_signals,,POINT (-73.986725 40.6435714)
42460215,40.643075,-73.987325,4,2,traffic_signals,,POINT (-73.987325 40.643075)
42460216,40.642517,-73.98791,4,2,traffic_signals,,POINT (-73.98791 40.642517)
42460217,40.641956,-73.988494,4,0,traffic_signals,,POINT (-73.988494 40.641956)
42460218,40.641396,-73.989077,4,1,traffic_signals,,POINT (-73.989077 40.641396)
42460220,40.640836,-73.989662,4,2,traffic_signals,,POINT (-73.989662 40.640836)
42460221,40.640275,-73.990244,4,1,traffic_signals,,POINT (-73.990244 40.640275)
